Sr..No.,Date,Field.Code,Species,Location.Encounterd,Gear.Type,Boat.Name,No..of.Hauls,Tow.duration.hours,Average.Haul.Duration..Hours.,Condition.at.encounter.,Snout.to.Vent..cm.,Body.Length..cm.,Tail.Length..cm.,Weight..g.,Sex,Month,Year,Remarks
34,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,103.632,NA,315,,February,2016,
35,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,109.22,NA,515,,February,2016,
36,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,109.728,NA,540,,February,2016,
37,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,111.76,NA,425,,February,2016,
38,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,114.3,NA,495,,February,2016,
39,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,116.84,NA,330,,February,2016,
40,03-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,124.714,NA,435,,February,2016,
41,04-02-2016,CESS 2003,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Dead,NA,120.142,NA,535,,February,2016,
42,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,114.808,NA,520,Female,February,2016,
43,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,114.808,NA,440,Female,February,2016,
44,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,118.11,NA,515,Female,February,2016,
45,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,121.92,NA,790,Female,February,2016,
46,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,122.428,NA,330,Female,February,2016,
47,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,73.66,NA,180,,February,2016,
48,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,74.422,NA,200,,February,2016,
49,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,75.692,NA,215,,February,2016,
50,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,76.962,NA,170,,February,2016,
51,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,80.01,NA,190,,February,2016,
52,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,82.042,NA,195,,February,2016,
53,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,83.566,NA,235,,February,2016,
54,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,83.566,NA,195,,February,2016,
55,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,89.408,NA,235,,February,2016,
56,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,91.5162,NA,265,,February,2016,
57,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,97.282,NA,405,,February,2016,
58,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,97.79,NA,280,,February,2016,
59,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,99.06,NA,315,,February,2016,
60,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,99.06,NA,395,,February,2016,
61,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,100.838,NA,335,,February,2016,
62,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,102.87,NA,290,,February,2016,
63,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,104.14,NA,400,,February,2016,
64,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,107.188,NA,445,,February,2016,
65,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,109.22,NA,390,,February,2016,
66,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Dead,NA,90.424,NA,225,,February,2016,
67,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Dead,NA,86.36,NA,285,,February,2016,
68,04-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Dead,NA,80.264,NA,340,,February,2016,
69,05-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,5,NA,Alive,NA,74.93,NA,325,,February,2016,
70,05-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,90.17,NA,310,,February,2016,
71,05-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,100.33,NA,400,,February,2016,
72,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,8,NA,Alive,NA,NA,NA,NA,,February,2016,
73,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,8,NA,Alive,NA,NA,NA,NA,,February,2016,
74,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,8,NA,Alive,NA,NA,NA,NA,,February,2016,
75,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,8,NA,Alive,NA,NA,NA,NA,,February,2016,
76,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,8,NA,Alive,NA,NA,NA,NA,,February,2016,
77,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,8,NA,Alive,NA,NA,NA,NA,,February,2016,
78,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,9,NA,Alive,NA,NA,NA,NA,,February,2016,
79,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,9,NA,Alive,NA,NA,NA,NA,,February,2016,
80,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,9,NA,Alive,NA,NA,NA,NA,,February,2016,
81,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,9,NA,Alive,NA,NA,NA,NA,,February,2016,
82,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,10,NA,Alive,NA,NA,NA,NA,,February,2016,
83,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,10,NA,Alive,NA,NA,NA,NA,,February,2016,
84,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,10,NA,Alive,NA,NA,NA,NA,,February,2016,
85,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,10,NA,Alive,NA,NA,NA,NA,,February,2016,
86,09-02-2016,,Hydrophis schistosus,Sarjekot,Trawler,,NA,10,NA,Alive,NA,NA,NA,NA,,February,2016,
87,14-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,105.41,NA,375,Female,February,2016,
88,14-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,109.22,NA,900,Female,February,2016,
89,14-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,1,NA,Alive,NA,112.522,NA,385,Female,February,2016,
90,14-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,1,NA,Alive,NA,113.03,NA,425,Female,February,2016,
91,14-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,120.142,NA,575,Female,February,2016,
92,14-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,80.772,NA,170,Male,February,2016,
93,14-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,1,NA,Alive,NA,85.344,NA,225,Male,February,2016,
94,14-02-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,99.568,NA,330,,February,2016,
95,18-02-2016,CESS 2004,Hydrophis schistosus,Dandi beach,GillNet,,NA,4,NA,Dead,NA,118.872,NA,840,Female,February,2016,
96,18-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,88.646,NA,270,,February,2016,
97,18-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,104.14,NA,425,,February,2016,
98,18-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,1,NA,Alive,NA,104.394,NA,420,,February,2016,
99,19-02-2016,CESS 2005,Hydrophis schistosus,Malvan,,,NA,NA,NA,Dead,NA,NA,NA,NA,,February,2016,
100,19-02-2016,CESS 2006,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,78.74,NA,160,,February,2016,
101,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,75.692,NA,510,,February,2016,
102,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,78.74,NA,235,,February,2016,
103,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,81.28,NA,300,,February,2016,
104,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,95.25,NA,450,,February,2016,
105,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,101.092,NA,540,,February,2016,
106,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,104.394,NA,535,,February,2016,
107,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,104.648,NA,325,,February,2016,
108,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,109.982,NA,510,,February,2016,
109,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,123.444,NA,885,,February,2016,
110,19-02-2016,,Hydrophis schistosus,Dandi beach,Rampan,,NA,1,NA,Alive,NA,NA,NA,NA,,February,2016,
111,19-02-2016,,Hydrophis schistosus,Dandi beach,Rampan,,NA,2,NA,Alive,NA,NA,NA,NA,,February,2016,
112,19-02-2016,,Hydrophis schistosus,Dandi beach,Rampan,,NA,2,NA,Alive,NA,NA,NA,NA,,February,2016,
113,19-02-2016,,Hydrophis schistosus,Dandi beach,Rampan,,NA,3,NA,Alive,NA,NA,NA,NA,,February,2016,
114,19-02-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,104.14,NA,460,,February,2016,
115,01-03-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,NA,NA,NA,,March,2016,
116,04-03-2016,,Hydrophis schistosus,Vengurla,Trawler,,NA,9,NA,Alive,NA,111.76,NA,855,Female,March,2016,
117,04-03-2016,,Hydrophis schistosus,Vengurla,Trawler,,NA,8,NA,Alive,NA,78.486,NA,170,Male,March,2016,
118,04-03-2016,,Hydrophis schistosus,Vengurla,Trawler,,NA,10,NA,Alive,NA,95.25,NA,370,Male,March,2016,
119,04-03-2016,,Hydrophis schistosus,Vengurla,Trawler,,NA,10,NA,Alive,NA,96.52,NA,285,Male,March,2016,
120,04-03-2016,,Hydrophis schistosus,Vengurla,Trawler,,NA,9,NA,Alive,NA,74.93,NA,195,,March,2016,
121,04-03-2016,,Hydrophis schistosus,Vengurla,Trawler,,NA,8,NA,Alive,NA,76.2,NA,190,,March,2016,
122,04-03-2016,,Hydrophis schistosus,Vengurla,Trawler,,NA,9,NA,Alive,NA,91.948,NA,315,,March,2016,
123,06-03-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,97.282,NA,480,,March,2016,
124,09-03-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,97.79,NA,380,Female,March,2016,
125,09-03-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,122.428,NA,350,Female,March,2016,
126,09-03-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,4,NA,Alive,NA,76.12,NA,150,Male,March,2016,
127,09-03-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,96.52,NA,305,,March,2016,
128,09-03-2016,,Hydrophis schistosus,Chivla beach,GillNet,,NA,3,NA,Alive,NA,101.6,NA,445,,March,2016,
129,14-03-2016,CESS 2007,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Dead,NA,70.866,NA,330,Female,March,2016,
130,14-03-2016,CESS 2008,Hydrophis curtus,Chivla beach,GillNet,,NA,5,NA,Dead,77,86.5,9.5,425,Male,March,2016,
131,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,58.42,NA,225,Female,March,2016,
132,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,58.42,NA,310,Female,March,2016,
133,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,63.5,NA,310,Female,March,2016,
134,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,63.5,NA,280,Female,March,2016,
135,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,64.77,NA,280,Female,March,2016,
136,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,66.802,NA,380,Female,March,2016,
137,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,69.85,NA,340,Female,March,2016,
138,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,69.85,NA,325,Female,March,2016,
139,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,72.39,NA,395,Female,March,2016,
140,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,2,NA,Alive,NA,77.47,NA,280,Female,March,2016,
141,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,77.724,NA,380,Female,March,2016,
142,14-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,1,NA,Alive,NA,79.756,NA,500,Female,March,2016,
143,14-03-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,99.06,NA,675,Female,March,2016,
144,14-03-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,101.854,NA,600,Female,March,2016,
145,15-03-2016,CESS 2009,Hydrophis curtus,Malvan,,,NA,NA,NA,Dead,72,80.2,8.2,330,Female,March,2016,HW to be measured
146,15-03-2016,CESS 2010,Hydrophis curtus,Malvan,,,NA,NA,NA,Dead,68.5,76,7.5,320,Male,March,2016,HW to be measured
147,15-03-2016,CESS 2011,Hydrophis curtus,Malvan,,,NA,NA,NA,Dead,64.4,70.4,6,255,Female,March,2016,HW to be measured
148,15-03-2016,CESS 2012,Hydrophis curtus,Malvan,,,NA,NA,NA,Dead,NA,NA,NA,NA,,March,2016,
149,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,62.23,NA,345,Female,March,2016,
150,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,64.516,NA,350,Female,March,2016,
151,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,64.77,NA,295,Female,March,2016,
152,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,68.326,NA,380,Female,March,2016,
153,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,67.31,NA,300,Female,March,2016,
154,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Dead,NA,72.898,NA,420,Female,March,2016,
155,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,58.42,NA,495,Male,March,2016,
156,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,77.724,NA,475,Male,March,2016,
157,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,66.548,NA,360,,March,2016,
158,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,68.58,NA,465,,March,2016,
159,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,75.946,NA,315,,March,2016,
160,15-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Dead,NA,76.708,NA,460,,March,2016,
161,16-03-2016,CESS 2013,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,82.55,NA,450,Male,March,2016,
162,16-03-2016,CESS 2014,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,63.5,NA,245,,March,2016,
163,16-03-2016,CESS 2015,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,68.58,NA,330,,March,2016,
164,16-03-2016,CESS 2016,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,72.39,NA,350,,March,2016,
165,16-03-2016,CESS 2017,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,73.406,NA,395,,March,2016,
166,16-03-2016,CESS 2027,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,63.5,NA,185,Female,March,2016,
167,16-03-2016,CESS 2028,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,63.5,NA,180,Male,March,2016,
168,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Dead,NA,62.23,NA,245,Female,March,2016,
169,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,58.42,NA,230,Female,March,2016,
170,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,64.77,NA,270,Female,March,2016,
171,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,66.548,NA,275,Female,March,2016,
172,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,67.31,NA,260,Female,March,2016,
173,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,69.85,NA,385,Female,March,2016,
174,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,74.168,NA,360,Female,March,2016,
175,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,85.852,NA,580,Female,March,2016,
176,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,91.44,NA,690,Female,March,2016,
177,16-03-2016,,Hydrophis schistosus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,104.902,NA,490,Female,March,2016,
178,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,64.77,NA,305,Male,March,2016,
179,16-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Dead,NA,76.2,NA,395,Male,March,2016,
180,16-03-2016,,Hydrophis schistosus,Dandi beach,Rampan,,NA,6,NA,Alive,NA,83.82,NA,270,Male,March,2016,
181,16-03-2016,,Hydrophis schistosus,Dandi beach,Rampan,,NA,6,NA,Alive,NA,89.408,NA,305,,March,2016,
182,17-03-2016,CESS 2018,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,76.2,NA,310,Male,March,2016,
183,17-03-2016,CESS 2019,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,67.31,NA,290,Female,March,2016,
184,17-03-2016,CESS 2020,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Dead,NA,65.532,NA,395,Female,March,2016,
185,17-03-2016,CESS 2021,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,78.486,NA,565,Female,March,2016,Regurgitated ribbonfish
186,17-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,69.85,NA,285,Female,March,2016,
187,17-03-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Dead,NA,68.58,NA,265,,March,2016,
188,17-03-2016,,Hydrophis schistosus,Dandi beach,Rampan,,NA,1,NA,Alive,NA,97.028,NA,445,,March,2016,
189,01-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,62.738,NA,200,,April,2016,
190,01-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,63.5,NA,110,,April,2016,
191,01-04-2016,,Hydrophis schistosus,Dandi beach,Rampan,,NA,3,NA,Alive,NA,68.58,NA,340,,April,2016,
192,02-04-2016,,Hydrophis curtus,Devgad,Trawler,,NA,9,NA,Alive,NA,93.98,NA,625,Male,April,2016,
193,02-04-2016,,Hydrophis curtus,Devgad,Trawler,,NA,8,NA,Dead,NA,63.5,NA,225,,April,2016,
194,04-04-2016,CESS 2022,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Dead,NA,74.168,NA,375,,April,2016,
195,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,55.88,NA,335,,April,2016,
196,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,55.88,NA,310,,April,2016,
197,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,61.722,NA,245,,April,2016,
198,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,5,NA,Alive,NA,62.23,NA,290,,April,2016,
199,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,63.5,NA,315,,April,2016,
200,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,64.77,NA,395,,April,2016,
201,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,68.072,NA,375,,April,2016,
202,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,3,NA,Alive,NA,68.58,NA,400,,April,2016,
203,04-04-2016,,Hydrophis curtus,Dandi beach,GillNet,,NA,4,NA,Alive,NA,68.58,NA,405,,April,2016,
204,05-05-2016,CESS 2024,Hydrophis schistosus,Vengurla,Trawler,,NA,8,NA,Dead,78.4,109.2,12,280,Female,May,2016,
205,05-05-2016,CESS 2025,Hydrophis schistosus,Vengurla,Trawler,,NA,9,NA,Dead,77.6,84,6.4,250,Female,May,2016,
206,05-05-2016,CESS 2026,Hydrophis schistosus,Vengurla,Trawler,,NA,10,NA,Dead,88.8,116.8,15.1,360,Male,May,2016,
